"Gene","Present_In","Total_Strains","Category"
"Element symbol",12,12,"Core"
"fosA",6,12,"Species-specific"
"arsB",4,12,"Species-specific"
"arsC",4,12,"Species-specific"
"fieF",4,12,"Species-specific"
"merA",4,12,"Species-specific"
"arsD",3,12,"Species-specific"
"arsR",3,12,"Species-specific"
"asr",3,12,"Species-specific"
"clpK",3,12,"Species-specific"
"hsp20",3,12,"Species-specific"
"merR",3,12,"Species-specific"
"pcoC",3,12,"Species-specific"
"pcoE",3,12,"Species-specific"
"pcoR",3,12,"Species-specific"
"silB",3,12,"Species-specific"
"silF",3,12,"Species-specific"
"aac(6')-I",2,12,"Species-specific"
"aph(3'')-Ib",2,12,"Species-specific"
"aph(3')-IIb",2,12,"Species-specific"
"aph(3')-Ia",2,12,"Species-specific"
"aph(6)-Id",2,12,"Species-specific"
"arsA",2,12,"Species-specific"
"aur",2,12,"Species-specific"
"blaCTX-M-15",2,12,"Species-specific"
"blaOXA-1",2,12,"Species-specific"
"catA",2,12,"Species-specific"
"catB7",2,12,"Species-specific"
"copB",2,12,"Species-specific"
"emrD",2,12,"Species-specific"
"erm(B)",2,12,"Species-specific"
"hld",2,12,"Species-specific"
"hlgA",2,12,"Species-specific"
"hlgB",2,12,"Species-specific"
"hlgC",2,12,"Species-specific"
"icaC",2,12,"Species-specific"
"lmrS",2,12,"Species-specific"
"lukD",2,12,"Species-specific"
"lukE",2,12,"Species-specific"
"mepA",2,12,"Species-specific"
"merC",2,12,"Species-specific"
"merD",2,12,"Species-specific"
"merE",2,12,"Species-specific"
"merP",2,12,"Species-specific"
"merT",2,12,"Species-specific"
"mexA",2,12,"Species-specific"
"mexE",2,12,"Species-specific"
"mexX",2,12,"Species-specific"
"msr(C)",2,12,"Species-specific"
"oqxA",2,12,"Species-specific"
"oqxB",2,12,"Species-specific"
"pcoA",2,12,"Species-specific"
"pcoB",2,12,"Species-specific"
"pcoD",2,12,"Species-specific"
"pcoS",2,12,"Species-specific"
"sak",2,12,"Species-specific"
"scn",2,12,"Species-specific"
"silA",2,12,"Species-specific"
"silC",2,12,"Species-specific"
"silE",2,12,"Species-specific"
"silP",2,12,"Species-specific"
"silR",2,12,"Species-specific"
"silS",2,12,"Species-specific"
"splA",2,12,"Species-specific"
"splB",2,12,"Species-specific"
"sul2",2,12,"Species-specific"
"tet(38)",2,12,"Species-specific"
"aac(6')-Ib-cr",1,12,"Strain-specific"
"aadA1",1,12,"Strain-specific"
"aadA2",1,12,"Strain-specific"
"abaF",1,12,"Strain-specific"
"ampC",1,12,"Strain-specific"
"amvA",1,12,"Strain-specific"
"ant(3'')-IIa",1,12,"Strain-specific"
"ant(6)-Ia",1,12,"Strain-specific"
"aph(3')-IIIa",1,12,"Strain-specific"
"blaADC-158",1,12,"Strain-specific"
"blaI",1,12,"Strain-specific"
"blaKPC-2",1,12,"Strain-specific"
"blaOXA-48",1,12,"Strain-specific"
"blaOXA-488",1,12,"Strain-specific"
"blaOXA-50",1,12,"Strain-specific"
"blaOXA-9",1,12,"Strain-specific"
"blaOXA-98",1,12,"Strain-specific"
"blaPDC-1",1,12,"Strain-specific"
"blaPDC-34",1,12,"Strain-specific"
"blaR1",1,12,"Strain-specific"
"blaSHV-11",1,12,"Strain-specific"
"blaSHV-28",1,12,"Strain-specific"
"blaTEM",1,12,"Strain-specific"
"blaTEM-1",1,12,"Strain-specific"
"blaZ",1,12,"Strain-specific"
"cadD",1,12,"Strain-specific"
"clpL",1,12,"Strain-specific"
"cna",1,12,"Strain-specific"
"cxpE",1,12,"Strain-specific"
"dfrA12",1,12,"Strain-specific"
"dfrA50",1,12,"Strain-specific"
"eat(A)_T450I",1,12,"Strain-specific"
"erm(C)",1,12,"Strain-specific"
"gyrA_D87A",1,12,"Strain-specific"
"gyrA_S83F",1,12,"Strain-specific"
"lukF-PV",1,12,"Strain-specific"
"lukS-PV",1,12,"Strain-specific"
"mcr-8.1",1,12,"Strain-specific"
"mecA",1,12,"Strain-specific"
"mecR1",1,12,"Strain-specific"
"mph(A)",1,12,"Strain-specific"
"nreB",1,12,"Strain-specific"
"oqxB25",1,12,"Strain-specific"
"parC_S80I",1,12,"Strain-specific"
"pmrB_V15I",1,12,"Strain-specific"
"qacEdelta1",1,12,"Strain-specific"
"ramR_A19V",1,12,"Strain-specific"
"sat4",1,12,"Strain-specific"
"sea",1,12,"Strain-specific"
"sec2",1,12,"Strain-specific"
"seh",1,12,"Strain-specific"
"sek",1,12,"Strain-specific"
"sel",1,12,"Strain-specific"
"selX",1,12,"Strain-specific"
"sep",1,12,"Strain-specific"
"seq",1,12,"Strain-specific"
"splE",1,12,"Strain-specific"
"sul1",1,12,"Strain-specific"
"tet(A)",1,12,"Strain-specific"
"tet(L)",1,12,"Strain-specific"
"tet(M)",1,12,"Strain-specific"
"ybtP",1,12,"Strain-specific"
"ybtQ",1,12,"Strain-specific"
