"Strain","Gene"
"Acinetobacter_baumannii_strain1","abaF"
"Acinetobacter_baumannii_strain1","amvA"
"Acinetobacter_baumannii_strain1","ant(3'')-IIa"
"Acinetobacter_baumannii_strain1","blaADC-158"
"Acinetobacter_baumannii_strain1","blaOXA-98"
"Acinetobacter_baumannii_strain1","cxpE"
"Acinetobacter_baumannii_strain1","merA"
"Acinetobacter_baumannii_strain1","merC"
"Acinetobacter_baumannii_strain1","merR"
"Acinetobacter_baumannii_strain1","nreB"
"Acinetobacter_baumannii_strain1","sul2"
"Enterobacter_cloacae_strain1","ampC"
"Enterobacter_cloacae_strain1","arsC"
"Enterobacter_cloacae_strain1","asr"
"Enterobacter_cloacae_strain1","catA"
"Enterobacter_cloacae_strain1","fieF"
"Enterobacter_cloacae_strain1","fosA"
"Enterobacter_cloacae_strain2","arsC"
"Enterobacter_cloacae_strain2","arsD"
"Enterobacter_cloacae_strain2","arsR"
"Enterobacter_cloacae_strain2","clpK"
"Enterobacter_cloacae_strain2","fieF"
"Enterobacter_cloacae_strain2","fosA"
"Enterobacter_cloacae_strain2","hsp20"
"Enterobacter_cloacae_strain2","oqxB"
"Enterobacter_cloacae_strain2","pcoC"
"Enterobacter_cloacae_strain2","pcoE"
"Enterobacter_cloacae_strain2","pcoR"
"Enterobacter_cloacae_strain2","pcoS"
"Enterobacter_cloacae_strain2","silB"
"Enterobacter_cloacae_strain2","silE"
"Enterobacter_cloacae_strain2","silF"
"Enterococcus_faecium_strain1","aac(6')-I"
"Enterococcus_faecium_strain1","clpL"
"Enterococcus_faecium_strain1","copB"
"Enterococcus_faecium_strain1","eat(A)_T450I"
"Enterococcus_faecium_strain1","merA"
"Enterococcus_faecium_strain1","msr(C)"
"Enterococcus_faecium_strain2","aac(6')-I"
"Enterococcus_faecium_strain2","ant(6)-Ia"
"Enterococcus_faecium_strain2","aph(3')-IIIa"
"Enterococcus_faecium_strain2","catA"
"Enterococcus_faecium_strain2","copB"
"Enterococcus_faecium_strain2","erm(B)"
"Enterococcus_faecium_strain2","msr(C)"
"Enterococcus_faecium_strain2","sat4"
"Enterococcus_faecium_strain2","tet(L)"
"Enterococcus_faecium_strain2","tet(M)"
"Klebsiella_pneumoniae_strain1","aadA1"
"Klebsiella_pneumoniae_strain1","aadA2"
"Klebsiella_pneumoniae_strain1","aph(3'')-Ib"
"Klebsiella_pneumoniae_strain1","aph(3')-Ia"
"Klebsiella_pneumoniae_strain1","aph(6)-Id"
"Klebsiella_pneumoniae_strain1","arsA"
"Klebsiella_pneumoniae_strain1","arsB"
"Klebsiella_pneumoniae_strain1","arsC"
"Klebsiella_pneumoniae_strain1","arsD"
"Klebsiella_pneumoniae_strain1","arsR"
"Klebsiella_pneumoniae_strain1","asr"
"Klebsiella_pneumoniae_strain1","blaCTX-M-15"
"Klebsiella_pneumoniae_strain1","blaKPC-2"
"Klebsiella_pneumoniae_strain1","blaOXA-1"
"Klebsiella_pneumoniae_strain1","blaOXA-9"
"Klebsiella_pneumoniae_strain1","blaSHV-28"
"Klebsiella_pneumoniae_strain1","blaTEM"
"Klebsiella_pneumoniae_strain1","clpK"
"Klebsiella_pneumoniae_strain1","dfrA12"
"Klebsiella_pneumoniae_strain1","dfrA50"
"Klebsiella_pneumoniae_strain1","emrD"
"Klebsiella_pneumoniae_strain1","erm(B)"
"Klebsiella_pneumoniae_strain1","fieF"
"Klebsiella_pneumoniae_strain1","fosA"
"Klebsiella_pneumoniae_strain1","gyrA_D87A"
"Klebsiella_pneumoniae_strain1","gyrA_S83F"
"Klebsiella_pneumoniae_strain1","hsp20"
"Klebsiella_pneumoniae_strain1","mph(A)"
"Klebsiella_pneumoniae_strain1","oqxA"
"Klebsiella_pneumoniae_strain1","oqxB"
"Klebsiella_pneumoniae_strain1","parC_S80I"
"Klebsiella_pneumoniae_strain1","pcoA"
"Klebsiella_pneumoniae_strain1","pcoB"
"Klebsiella_pneumoniae_strain1","pcoC"
"Klebsiella_pneumoniae_strain1","pcoD"
"Klebsiella_pneumoniae_strain1","pcoE"
"Klebsiella_pneumoniae_strain1","pcoR"
"Klebsiella_pneumoniae_strain1","qacEdelta1"
"Klebsiella_pneumoniae_strain1","ramR_A19V"
"Klebsiella_pneumoniae_strain1","silA"
"Klebsiella_pneumoniae_strain1","silB"
"Klebsiella_pneumoniae_strain1","silC"
"Klebsiella_pneumoniae_strain1","silF"
"Klebsiella_pneumoniae_strain1","silP"
"Klebsiella_pneumoniae_strain1","silR"
"Klebsiella_pneumoniae_strain1","silS"
"Klebsiella_pneumoniae_strain1","sul1"
"Klebsiella_pneumoniae_strain1","tet(A)"
"Klebsiella_pneumoniae_strain2","aac(6')-Ib-cr"
"Klebsiella_pneumoniae_strain2","aph(3'')-Ib"
