Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
JODDOAAB_00038	ramR_A19V	Klebsiella pneumoniae tigecycline resistant RamR	core	AMR	POINT	TETRACYCLINE	TIGECYCLINE	POINTP	193	193	100.00	98.96	193	WP_004176968.1	TetR/AcrR family transcriptional regulator RamR	NA	NA
JODDOAAB_00717	fosA	FosA5 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	139	139	100.00	100.00	139	WP_004146118.1	FosA5 family fosfomycin resistance glutathione transferase	NF040540.1	FosA5 family fosfomycin resistance glutathione transferase
JODDOAAB_01416	gyrA_D87A	Klebsiella pneumoniae quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTP	877	877	100.00	99.66	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
JODDOAAB_01416	gyrA_S83F	Klebsiella pneumoniae quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTP	877	877	100.00	99.66	877	WP_117036963.1	DNA gyrase subunit A GyrA	NA	NA
JODDOAAB_02029	asr	acid resistance repetitive basic protein Asr	plus	STRESS	ACID	NA	NA	HMM	78	102	100.00	52.94	102	BAA15331.2	acid resistance repetitive basic protein Asr	NF033636.1	acid resistance repetitive basic protein Asr
JODDOAAB_02610	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	140	141	98.58	78.42	139	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
JODDOAAB_03597	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	100.00	99.90	1050	WP_021312368.1	multidrug efflux RND transporter permease subunit OqxB20	NF000037.1	multidrug efflux RND transporter permease subunit OqxB
JODDOAAB_03598	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	EXACTP	391	391	100.00	100.00	391	WP_002914189.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	NF000272.1	multidrug efflux RND transporter periplasmic adaptor subunit OqxA
JODDOAAB_03965	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286	100.00	100.00	286	WP_004179754.1	broad-spectrum class A beta-lactamase SHV-28	NF000285.3	SHV family class A beta-lactamase
JODDOAAB_04037	parC_S80I	Klebsiella pneumoniae quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTP	752	689	98.84	99.41	681	WP_101982161.1	DNA topoisomerase IV subunit A ParC	NA	NA
JODDOAAB_04295	dfrA50	trimethoprim-resistant dihydrofolate reductase DfrA50	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTP	158	158	100.00	99.37	158	WP_040203768.1	trimethoprim-resistant dihydrofolate reductase DfrA50	NF047323.1	trimethoprim-resistant dihydrofolate reductase DfrA50
JODDOAAB_04373	emrD	multidrug efflux MFS transporter EmrD	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	394	394	100.00	99.49	394	ACN65732.1	multidrug efflux MFS transporter EmrD	NA	NA
JODDOAAB_04480	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	EXACTP	300	300	100.00	100.00	300	BAB89353.1	CDF family cation-efflux transporter FieF	NA	NA
JODDOAAB_05090	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100.00	100.00	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
JODDOAAB_05091	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100.00	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA
JODDOAAB_05092	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100.00	100.00	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA
JODDOAAB_05093	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100.00	100.00	296	CAA58526.1	copper-binding protein PcoB	NA	NA
