Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
JPCKEEFE_00734	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	BLASTP	143	141	99.29	90.71	140	AAA21096.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase
JPCKEEFE_01395	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	BLASTP	120	120	100.00	93.33	120	AAB09625.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
JPCKEEFE_01396	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTP	114	116	95.69	96.40	111	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
JPCKEEFE_01458	hsp20	small heat shock protein sHSP20	plus	STRESS	HEAT	NA	NA	EXACTP	189	189	100.00	100.00	189	CDY80020.1	small heat shock protein sHSP20	NA	NA
JPCKEEFE_01459	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTP	931	949	97.89	99.14	929	ASF80763.1	heat shock survival AAA family ATPase ClpK	NF033606.1	heat shock survival AAA family ATPase ClpK
JPCKEEFE_01666	fieF	CDF family cation-efflux transporter FieF	plus	STRESS	METAL	NA	NA	BLASTP	297	300	97.00	89.69	291	BAB89353.1	CDF family cation-efflux transporter FieF	NA	NA
JPCKEEFE_02571	fosA	FosA/FosA2 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	141	141	100.00	95.74	141	WP_025205684.1	fosfomycin resistance glutathione transferase FosA2	NF000026.1	FosA/FosA2 family fosfomycin resistance glutathione transferase
JPCKEEFE_03022	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	PARTIALP	738	1050	70.29	97.02	738	WP_000347934.1	multidrug efflux RND transporter permease subunit OqxB	NA	NA
JPCKEEFE_03419	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	PARTIALP	376	430	87.44	100.00	376	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA
JPCKEEFE_03483	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	PARTIALP	345	466	74.03	99.71	345	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA
JPCKEEFE_03484	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100.00	92.36	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA
JPCKEEFE_04096	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	EXACTP	117	117	100.00	100.00	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA
JPCKEEFE_04107	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100.00	100.00	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA
JPCKEEFE_04494	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	PARTIALP	173	226	76.55	100.00	173	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA
JPCKEEFE_04550	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	EXACTP	143	143	100.00	100.00	143	AAD11743.1	silver-binding protein SilE	NA	NA
