locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIELJBDO_00001	CDS	1545	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PIELJBDO_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
PIELJBDO_00003	CDS	1110	recF		COG1195	DNA replication and repair protein RecF
PIELJBDO_00004	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
PIELJBDO_00005	CDS	774				hypothetical protein
PIELJBDO_00006	CDS	537	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
PIELJBDO_00007	CDS	1707				hypothetical protein
PIELJBDO_00008	CDS	2058	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PIELJBDO_00009	CDS	948	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PIELJBDO_00010	CDS	552	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
PIELJBDO_00011	CDS	888	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
PIELJBDO_00012	CDS	267				hypothetical protein
PIELJBDO_00013	CDS	654	yhhQ		COG1738	Queuosine precursor transporter
PIELJBDO_00014	CDS	273				hypothetical protein
PIELJBDO_00015	CDS	318				hypothetical protein
PIELJBDO_00016	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
PIELJBDO_00017	CDS	1305	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
PIELJBDO_00018	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
PIELJBDO_00019	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
PIELJBDO_00020	CDS	1026				hypothetical protein
PIELJBDO_00021	CDS	1089				hypothetical protein
PIELJBDO_00022	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
PIELJBDO_00023	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
PIELJBDO_00024	CDS	918	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
PIELJBDO_00025	CDS	825	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PIELJBDO_00026	CDS	987				hypothetical protein
PIELJBDO_00027	CDS	1287	prsA	5.2.1.8		Foldase protein PrsA
PIELJBDO_00028	CDS	603				hypothetical protein
PIELJBDO_00029	CDS	1554			COG0659	putative sulfate transporter
PIELJBDO_00030	CDS	924				hypothetical protein
PIELJBDO_00031	CDS	1512	betC	3.1.6.6	COG3119	Choline-sulfatase
PIELJBDO_00032	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
PIELJBDO_00033	CDS	378				hypothetical protein
PIELJBDO_00034	CDS	366				hypothetical protein
PIELJBDO_00035	CDS	624			COG2197	Putative transcriptional regulator
PIELJBDO_00036	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
PIELJBDO_00037	CDS	1209	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
PIELJBDO_00038	CDS	888	trpI_1			HTH-type transcriptional regulator TrpI
PIELJBDO_00039	CDS	216			COG3360	Dodecin
PIELJBDO_00040	CDS	222				hypothetical protein
PIELJBDO_00041	CDS	1689				hypothetical protein
PIELJBDO_00042	CDS	10332				hypothetical protein
PIELJBDO_00043	CDS	222				hypothetical protein
PIELJBDO_00044	CDS	396				hypothetical protein
PIELJBDO_00045	CDS	1254				hypothetical protein
PIELJBDO_00046	CDS	1329				hypothetical protein
PIELJBDO_00047	CDS	687			COG1462	Putative lipoprotein/NMB1164
PIELJBDO_00048	CDS	354				hypothetical protein
PIELJBDO_00049	CDS	666			COG4380	Putative lipoprotein/NMB1162
PIELJBDO_00050	CDS	384				hypothetical protein
PIELJBDO_00051	CDS	1662				putative protein
PIELJBDO_00052	CDS	141				hypothetical protein
PIELJBDO_00053	CDS	138				hypothetical protein
PIELJBDO_00054	CDS	1833	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
PIELJBDO_00055	CDS	429				hypothetical protein
PIELJBDO_00056	CDS	549	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
PIELJBDO_00057	CDS	507				hypothetical protein
PIELJBDO_00058	CDS	921	dmlR_1			HTH-type transcriptional regulator DmlR
PIELJBDO_00059	CDS	888				hypothetical protein
PIELJBDO_00060	CDS	705				hypothetical protein
PIELJBDO_00061	CDS	426	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
PIELJBDO_00062	CDS	234				hypothetical protein
PIELJBDO_00063	CDS	438				hypothetical protein
PIELJBDO_00064	CDS	417				hypothetical protein
PIELJBDO_00065	CDS	1128				hypothetical protein
PIELJBDO_00066	CDS	984				hypothetical protein
PIELJBDO_00067	CDS	666		3.1.3.5	COG0546	5'-nucleotidase
PIELJBDO_00068	CDS	543	yrdA_1		COG0663	Protein YrdA
PIELJBDO_00069	CDS	2046	prlC	3.4.24.70	COG0339	Oligopeptidase A
PIELJBDO_00070	CDS	276				hypothetical protein
PIELJBDO_00071	CDS	1059				hypothetical protein
PIELJBDO_00072	CDS	915				hypothetical protein
PIELJBDO_00073	CDS	1713				hypothetical protein
PIELJBDO_00074	CDS	1200				hypothetical protein
PIELJBDO_00075	CDS	720	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
PIELJBDO_00076	CDS	3099	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
PIELJBDO_00077	CDS	729	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
PIELJBDO_00078	CDS	681				hypothetical protein
PIELJBDO_00079	CDS	3534				hypothetical protein
PIELJBDO_00080	CDS	1350				hypothetical protein
PIELJBDO_00081	CDS	1335				hypothetical protein
PIELJBDO_00082	CDS	465				hypothetical protein
PIELJBDO_00083	CDS	543				hypothetical protein
PIELJBDO_00084	CDS	960				hypothetical protein
PIELJBDO_00085	CDS	1035				hypothetical protein
PIELJBDO_00086	CDS	519				hypothetical protein
PIELJBDO_00087	CDS	1497				hypothetical protein
