locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEALKAJD_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GEALKAJD_00002	CDS	1131	dnaN		COG0592	Beta sliding clamp
GEALKAJD_00003	CDS	309				hypothetical protein
GEALKAJD_00004	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
GEALKAJD_00005	CDS	1947	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
GEALKAJD_00006	CDS	2472	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
GEALKAJD_00007	CDS	300	rpsF		COG0360	30S ribosomal protein S6
GEALKAJD_00008	CDS	513	ssb_1		COG0629	Single-stranded DNA-binding protein
GEALKAJD_00009	CDS	237	rpsR		COG0238	30S ribosomal protein S18
GEALKAJD_00010	CDS	1974	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
GEALKAJD_00011	CDS	453	rplI			50S ribosomal protein L9
GEALKAJD_00012	CDS	1368	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
GEALKAJD_00013	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GEALKAJD_00014	CDS	864				DegV domain-containing protein
GEALKAJD_00015	CDS	1623	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
GEALKAJD_00016	CDS	522				hypothetical protein
GEALKAJD_00017	CDS	1731	pox5	1.2.3.3	COG0028	Pyruvate oxidase
GEALKAJD_00018	CDS	819	zupT		COG0428	Zinc transporter ZupT
GEALKAJD_00019	CDS	198				hypothetical protein
GEALKAJD_00020	CDS	579				Potassium channel
GEALKAJD_00021	CDS	138				hypothetical protein
GEALKAJD_00022	CDS	504				hypothetical protein
GEALKAJD_00023	CDS	1026				hypothetical protein
GEALKAJD_00024	CDS	864				hypothetical protein
GEALKAJD_00025	CDS	378				hypothetical protein
GEALKAJD_00026	CDS	231				hypothetical protein
GEALKAJD_00027	CDS	207				hypothetical protein
GEALKAJD_00028	CDS	372				hypothetical protein
GEALKAJD_00029	CDS	693	yvdM_1	5.4.2.6	COG0637	Beta-phosphoglucomutase
GEALKAJD_00030	CDS	786	lacR_1			Lactose phosphotransferase system repressor
GEALKAJD_00031	CDS	1401	lacG_1	3.2.1.85	COG2723	6-phospho-beta-galactosidase
GEALKAJD_00032	CDS	318	lacF_1			PTS system lactose-specific EIIA component
GEALKAJD_00033	CDS	1674	lacE_1		COG1455	PTS system lactose-specific EIICB component
GEALKAJD_00034	CDS	1632				hypothetical protein
GEALKAJD_00035	CDS	1566	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
GEALKAJD_00036	CDS	924	coaA	2.7.1.33		Pantothenate kinase
GEALKAJD_00037	CDS	606	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
GEALKAJD_00038	CDS	1017	degA_1		COG1609	HTH-type transcriptional regulator DegA
GEALKAJD_00039	CDS	1302	pdp	2.4.2.2	COG0213	Pyrimidine-nucleoside phosphorylase
GEALKAJD_00040	CDS	663	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
GEALKAJD_00041	CDS	399	cdd	3.5.4.5	COG0295	Cytidine deaminase
GEALKAJD_00042	CDS	1083	tmpC		COG1744	Membrane lipoprotein TmpC
GEALKAJD_00043	CDS	1563	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
GEALKAJD_00044	CDS	1134				hypothetical protein
GEALKAJD_00045	CDS	957				hypothetical protein
GEALKAJD_00046	CDS	1167	deoB	5.4.2.7		Phosphopentomutase
GEALKAJD_00047	CDS	819	punA	2.4.2.1		Purine nucleoside phosphorylase 1
GEALKAJD_00048	CDS	708	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
GEALKAJD_00049	CDS	489	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GEALKAJD_00050	CDS	153	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
GEALKAJD_00051	CDS	582	hin		COG1961	DNA-invertase hin
GEALKAJD_00052	CDS	684	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
GEALKAJD_00053	CDS	414	rpsL		COG0048	30S ribosomal protein S12
GEALKAJD_00054	CDS	471	rpsG		COG0049	30S ribosomal protein S7
GEALKAJD_00055	CDS	2088	fus			Elongation factor G
GEALKAJD_00056	CDS	1188	tuf_1		COG0050	Elongation factor Tu
GEALKAJD_00057	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
GEALKAJD_00058	CDS	630	rplC		COG0087	50S ribosomal protein L3
GEALKAJD_00059	CDS	624	rplD		COG0088	50S ribosomal protein L4
GEALKAJD_00060	CDS	291	rplW			50S ribosomal protein L23
GEALKAJD_00061	CDS	324	rplB_1		COG0090	50S ribosomal protein L2
GEALKAJD_00062	CDS	549	rplB_2		COG0090	50S ribosomal protein L2
GEALKAJD_00063	CDS	279	rpsS		COG0185	30S ribosomal protein S19
GEALKAJD_00064	CDS	348	rplV		COG0091	50S ribosomal protein L22
GEALKAJD_00065	CDS	657	rpsC		COG0092	30S ribosomal protein S3
GEALKAJD_00066	CDS	435	rplP		COG0197	50S ribosomal protein L16
GEALKAJD_00067	CDS	189	rpmC		COG0255	50S ribosomal protein L29
GEALKAJD_00068	CDS	267	rpsQ		COG0186	30S ribosomal protein S17
GEALKAJD_00069	CDS	369	rplN		COG0093	50S ribosomal protein L14
GEALKAJD_00070	CDS	309	rplX			50S ribosomal protein L24
GEALKAJD_00071	CDS	540	rplE		COG0094	50S ribosomal protein L5
GEALKAJD_00072	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
GEALKAJD_00073	CDS	399	rpsH		COG0096	30S ribosomal protein S8
GEALKAJD_00074	CDS	537	rplF			50S ribosomal protein L6
GEALKAJD_00075	CDS	357	rplR		COG0256	50S ribosomal protein L18
GEALKAJD_00076	CDS	501	rpsE		COG0098	30S ribosomal protein S5
GEALKAJD_00077	CDS	180	rpmD		COG1841	50S ribosomal protein L30
GEALKAJD_00078	CDS	441	rplO			50S ribosomal protein L15
GEALKAJD_00079	CDS	1296	secY			Protein translocase subunit SecY
GEALKAJD_00080	CDS	648	adk	2.7.4.3		Adenylate kinase
GEALKAJD_00081	CDS	219	infA		COG0361	Translation initiation factor IF-1
GEALKAJD_00082	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
GEALKAJD_00083	CDS	366	rpsM		COG0099	30S ribosomal protein S13
