locus_tag	ftype	length_bp	gene	EC_number	COG	product
JMBFADNF_00001	CDS	456				hypothetical protein
JMBFADNF_00002	CDS	1308	kgtP			Alpha-ketoglutarate permease
JMBFADNF_00003	CDS	324				hypothetical protein
JMBFADNF_00004	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
JMBFADNF_00005	CDS	2664	pat	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase Pat
JMBFADNF_00006	CDS	699				hypothetical protein
JMBFADNF_00007	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
JMBFADNF_00008	CDS	1071	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
JMBFADNF_00009	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
JMBFADNF_00010	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
JMBFADNF_00011	CDS	1329	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
JMBFADNF_00012	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
JMBFADNF_00013	CDS	1620	nadB	1.4.3.16	COG0029	L-aspartate oxidase
JMBFADNF_00014	CDS	576	rpoE			ECF RNA polymerase sigma-E factor
JMBFADNF_00015	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
JMBFADNF_00016	CDS	954	rseB		COG3026	Sigma-E factor regulatory protein RseB
JMBFADNF_00017	CDS	477	rseC		COG3086	Protein RseC
JMBFADNF_00018	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
JMBFADNF_00019	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
JMBFADNF_00020	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
JMBFADNF_00021	CDS	906	era_1		COG1159	GTPase Era
JMBFADNF_00022	CDS	711	recO		COG1381	DNA repair protein RecO
JMBFADNF_00023	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
JMBFADNF_00024	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
JMBFADNF_00025	CDS	261	yfhL		COG1145	Ferredoxin YfhL
JMBFADNF_00026	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
JMBFADNF_00027	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
JMBFADNF_00028	CDS	1353				PTS system EIIBC component
JMBFADNF_00029	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
JMBFADNF_00030	CDS	540	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
JMBFADNF_00031	CDS	1551	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
JMBFADNF_00032	CDS	3954	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
JMBFADNF_00033	CDS	1389	qseE	2.7.13.3		Sensor histidine kinase QseE
JMBFADNF_00034	CDS	708	qseG			Quorum-sensing regulator protein G
