Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
JJCHDOIF_00295	amvA	multidrug efflux MFS transporter AmvA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTP	492	492	100.00	98.98	492	ACQ82816.1	multidrug efflux MFS transporter AmvA	NA	NA
JJCHDOIF_00852	blaOXA-98	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-98	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_001021777.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-98	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
JJCHDOIF_01097	abaF	fosfomycin efflux MFS transporter AbaF	plus	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	429	429	100.00	100.00	429	ABO11759.2	fosfomycin efflux MFS transporter AbaF	NA	NA
JJCHDOIF_01663	nreB	nickel resistance MFS transporter NreB	plus	STRESS	METAL	NICKEL	NICKEL	BLASTP	416	416	100.00	98.08	416	ADY84088.1	nickel resistance MFS transporter NreB	NA	NA
JJCHDOIF_02145	cxpE	chloramphenicol efflux transporter CxpE	plus	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	397	397	100.00	100.00	397	AKA30736.1	chloramphenicol efflux transporter CxpE	NF045801.1	chloramphenicol efflux transporter CxpE
JJCHDOIF_02331	blaADC-158	extended-spectrum class C beta-lactamase ADC-158	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	383	383	100.00	100.00	383	WP_001211227.1	extended-spectrum class C beta-lactamase ADC-158	NF000425.2	ADC family extended-spectrum class C beta-lactamase
JJCHDOIF_03026	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	144	144	100.00	91.67	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NF010315.0	mercury resistance transcriptional regulator MerR
JJCHDOIF_03028	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	HMM	141	141	100.00	80.14	141	AAC38233.1	organomercurial transporter MerC	NF033784.1	organomercurial transporter MerC
JJCHDOIF_03029	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTP	561	561	100.00	96.26	561	AAC38220.1	mercury(II) reductase	TIGR02053.1	mercury(II) reductase
JJCHDOIF_03236	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	262	262	100.00	100.00	262	WP_001112624.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NF033220.1	ANT(3'')-II family aminoglycoside nucleotidyltransferase
JJCHDOIF_03349	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NF000295.1	sulfonamide-resistant dihydropteroate synthase Sul2
