"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Staphylococcus_aureus_subsp_aureus_strain1","Staphylococcus_aureus_subsp_aureus_strain2"
"ssl3","","Staphylococcal superantigen-like 3","2","2","1","16","1298","","","","677","1070","873","EFOPJNHM_00379","MMPIJKCK_02196"
"cap8A_2","","Capsular polysaccharide type 8 biosynthesis protein cap8A","2","2","1","16","1031","","","","152","668","410","EFOPJNHM_00124","MMPIJKCK_01948"
"group_100","","hypothetical protein","2","2","1","16","2345","","","","200","200","200","EFOPJNHM_01361","MMPIJKCK_00920"
"group_1000","","hypothetical protein","2","2","1","16","1486","","","","1295","1295","1295","EFOPJNHM_00579","MMPIJKCK_00093"
"cidA","","Holin-like protein CidA","2","2","1","16","759","","","","395","395","395","EFOPJNHM_02475","MMPIJKCK_01684"
"lacE","","PTS system lactose-specific EIICB component","2","2","1","16","416","","","","1712","1712","1712","EFOPJNHM_02143","MMPIJKCK_01357"
"ldh1","","L-lactate dehydrogenase 1","2","2","1","16","1126","","","","953","953","953","EFOPJNHM_00216","MMPIJKCK_02031"
"yicL","","putative inner membrane transporter YicL","2","2","1","16","752","","","","962","962","962","EFOPJNHM_02468","MMPIJKCK_01677"
"group_1005","","putative oxidoreductase","2","2","1","16","2052","","","","755","755","755","EFOPJNHM_01458","MMPIJKCK_00952"
"nucH","","Thermonuclease","2","2","1","16","2202","","","","533","533","533","EFOPJNHM_01221","MMPIJKCK_00779"
"group_1007","","Putative phosphoesterase","2","2","1","16","180","","","","509","509","509","EFOPJNHM_00909","MMPIJKCK_00471"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","2","2","1","16","87","","","","1226","1226","1226","EFOPJNHM_01007","MMPIJKCK_00567"
