locus_tag	ftype	length_bp	gene	EC_number	COG	product
MDIKJABB_00001	CDS	3093	bepG			Efflux pump membrane transporter BepG
MDIKJABB_00002	CDS	1080	mdtA_1			Multidrug resistance protein MdtA
MDIKJABB_00003	CDS	2724	ctpF_1	3.6.3.-	COG0474	putative cation-transporting ATPase F
MDIKJABB_00004	CDS	111				hypothetical protein
MDIKJABB_00005	CDS	249				hypothetical protein
MDIKJABB_00006	CDS	342	soxS_1			Regulatory protein SoxS
MDIKJABB_00007	CDS	1116			COG2220	putative protein
MDIKJABB_00008	CDS	582				hypothetical protein
MDIKJABB_00009	CDS	369				hypothetical protein
MDIKJABB_00010	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
MDIKJABB_00011	CDS	435				hypothetical protein
MDIKJABB_00012	CDS	471	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
MDIKJABB_00013	CDS	744	sorC_1		COG3715	PTS system sorbose-specific EIIC component
MDIKJABB_00014	CDS	855	manZ_1		COG3716	PTS system mannose-specific EIID component
MDIKJABB_00015	CDS	1062				hypothetical protein
MDIKJABB_00016	CDS	987	frlB_1	3.5.-.-	COG2222	Fructosamine deglycase FrlB
MDIKJABB_00017	CDS	2730	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
MDIKJABB_00018	CDS	1035				hypothetical protein
MDIKJABB_00019	CDS	867				hypothetical protein
MDIKJABB_00020	CDS	1428	jefA_1			Drug efflux pump JefA
MDIKJABB_00021	CDS	1245	ybdG_1		COG0668	Miniconductance mechanosensitive channel YbdG
MDIKJABB_00022	CDS	981	rbsR_1		COG1609	Ribose operon repressor
MDIKJABB_00023	CDS	417				hypothetical protein
MDIKJABB_00024	CDS	1152	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
MDIKJABB_00025	CDS	1023	iolE_1	4.2.1.44		Inosose dehydratase
MDIKJABB_00026	CDS	1242	yegT			Putative nucleoside transporter YegT
MDIKJABB_00027	CDS	1377	pheP		COG1113	Phenylalanine-specific permease
MDIKJABB_00028	CDS	2199	fcuA			Ferrichrome receptor FcuA
MDIKJABB_00029	CDS	1083	yncE_1		COG3391	putative protein YncE
MDIKJABB_00030	CDS	1485	feaB_1	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
MDIKJABB_00031	CDS	1302	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MDIKJABB_00032	CDS	366				hypothetical protein
MDIKJABB_00033	CDS	219				hypothetical protein
MDIKJABB_00034	CDS	1500	steT		COG0531	Serine/threonine exchanger SteT
