locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJCHDOIF_00001	CDS	546				hypothetical protein
JJCHDOIF_00002	CDS	267				hypothetical protein
JJCHDOIF_00003	CDS	225				hypothetical protein
JJCHDOIF_00004	CDS	387				hypothetical protein
JJCHDOIF_00005	CDS	342				hypothetical protein
JJCHDOIF_00006	CDS	183				hypothetical protein
JJCHDOIF_00007	CDS	507				hypothetical protein
JJCHDOIF_00008	CDS	4914				hypothetical protein
JJCHDOIF_00009	CDS	753				hypothetical protein
JJCHDOIF_00010	CDS	393				hypothetical protein
JJCHDOIF_00011	CDS	399				hypothetical protein
JJCHDOIF_00012	CDS	507				hypothetical protein
JJCHDOIF_00013	CDS	363				hypothetical protein
JJCHDOIF_00014	CDS	576				hypothetical protein
JJCHDOIF_00015	CDS	396				hypothetical protein
JJCHDOIF_00016	CDS	555				hypothetical protein
JJCHDOIF_00017	CDS	198				hypothetical protein
JJCHDOIF_00018	tRNA	77				tRNA-Arg(ccg)
JJCHDOIF_00019	CDS	633				hypothetical protein
JJCHDOIF_00020	CDS	687				hypothetical protein
JJCHDOIF_00021	CDS	1230				hypothetical protein
JJCHDOIF_00022	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
JJCHDOIF_00023	CDS	1449	ttgC		COG1538	putative efflux pump outer membrane protein TtgC
JJCHDOIF_00024	CDS	3180	oqxB9			multidrug efflux RND transporter permease subunit OqxB9
JJCHDOIF_00025	CDS	1221	mdtE			Multidrug resistance protein MdtE
JJCHDOIF_00026	CDS	1032	dmlR_1			HTH-type transcriptional regulator DmlR
JJCHDOIF_00027	CDS	786	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
JJCHDOIF_00028	CDS	690	hisQ		COG4215	Histidine transport system permease protein HisQ
JJCHDOIF_00029	CDS	714	hisM		COG4160	Histidine transport system permease protein HisM
JJCHDOIF_00030	CDS	777	hisP		COG4598	Histidine transport ATP-binding protein HisP
JJCHDOIF_00031	CDS	330	emrE		COG2076	Multidrug transporter EmrE
JJCHDOIF_00032	CDS	264			COG1145	putative ferredoxin-like protein
JJCHDOIF_00033	CDS	1371	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
JJCHDOIF_00034	CDS	1461	norG_1		COG1167	HTH-type transcriptional regulator NorG
JJCHDOIF_00035	CDS	870	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
JJCHDOIF_00036	CDS	780	fpr_1	1.18.1.2	COG1018	Ferredoxin--NADP reductase
JJCHDOIF_00037	CDS	729	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
JJCHDOIF_00038	CDS	1269				hypothetical protein
JJCHDOIF_00039	CDS	1758				hypothetical protein
JJCHDOIF_00040	CDS	360				hypothetical protein
JJCHDOIF_00041	CDS	663	qseB_1			Transcriptional regulatory protein QseB
JJCHDOIF_00042	CDS	1359	qseC_1	2.7.13.3		Sensor protein QseC
JJCHDOIF_00043	CDS	171				hypothetical protein
JJCHDOIF_00044	CDS	900	thiE_1	2.5.1.3		Thiamine-phosphate synthase
JJCHDOIF_00045	CDS	552				hypothetical protein
JJCHDOIF_00046	CDS	2397	mrcB		COG0744	Penicillin-binding protein 1B
JJCHDOIF_00047	CDS	909	nadK	2.7.1.23	COG0061	NAD kinase
JJCHDOIF_00048	CDS	273				hypothetical protein
JJCHDOIF_00049	CDS	1011	trpD_1	2.4.2.18		Anthranilate phosphoribosyltransferase
JJCHDOIF_00050	CDS	1359	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
JJCHDOIF_00051	CDS	1146	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
JJCHDOIF_00052	CDS	945				hypothetical protein
JJCHDOIF_00053	CDS	1110	pheA			Bifunctional chorismate mutase/prephenate dehydratase
JJCHDOIF_00054	CDS	2271	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
JJCHDOIF_00055	CDS	384				hypothetical protein
JJCHDOIF_00056	CDS	1461	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
JJCHDOIF_00057	CDS	957	rbn	3.1.-.-	COG1234	Ribonuclease BN
JJCHDOIF_00058	CDS	633				hypothetical protein
JJCHDOIF_00059	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
JJCHDOIF_00060	CDS	624				hypothetical protein
JJCHDOIF_00061	CDS	786	thiG	2.8.1.10	COG2022	Thiazole synthase
JJCHDOIF_00062	CDS	198				hypothetical protein
JJCHDOIF_00063	CDS	366				hypothetical protein
JJCHDOIF_00064	CDS	867	rpoH		COG0568	RNA polymerase sigma factor RpoH
JJCHDOIF_00065	CDS	246	tusA_1			Sulfur carrier protein TusA
JJCHDOIF_00066	CDS	213	cspG		COG1278	Cold shock-like protein CspG
JJCHDOIF_00067	CDS	1152	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
JJCHDOIF_00068	CDS	381				hypothetical protein
JJCHDOIF_00069	CDS	576	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
JJCHDOIF_00070	CDS	1074	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
JJCHDOIF_00071	CDS	456				hypothetical protein
JJCHDOIF_00072	CDS	1140				hypothetical protein
JJCHDOIF_00073	CDS	480				hypothetical protein
JJCHDOIF_00074	CDS	1005	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
JJCHDOIF_00075	CDS	588				hypothetical protein
JJCHDOIF_00076	CDS	1542	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
JJCHDOIF_00077	CDS	1890	htpX_1	3.4.24.-		Protease HtpX
JJCHDOIF_00078	CDS	651				hypothetical protein
JJCHDOIF_00079	CDS	966	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
JJCHDOIF_00080	CDS	1437	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
JJCHDOIF_00081	CDS	447	yqeY		COG1610	putative protein YqeY
JJCHDOIF_00082	CDS	216	rpsU		COG0828	30S ribosomal protein S21
JJCHDOIF_00083	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JJCHDOIF_00084	CDS	1104				hypothetical protein
