Protein id	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
MMPIJKCK_01214	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	HMM	430	429	100.00	81.35	429	AAA25637.1	arsenite efflux transporter membrane subunit ArsB	NF033877.0	arsenite efflux transporter membrane subunit ArsB
MMPIJKCK_01252	splE	serine protease SplE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	238	238	100.00	99.16	238	ABD30999.1	serine protease SplE	NA	NA
MMPIJKCK_01254	splB	serine protease SplB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	240	240	100.00	99.58	240	ABD31003.1	serine protease SplB	NA	NA
MMPIJKCK_01255	splA	serine protease SplA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	230	235	97.87	95.65	230	ABD31004.1	serine protease SplA	NA	NA
MMPIJKCK_01261	lukD	bi-component leukocidin LukED subunit D	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	327	327	100.00	94.19	327	CAA73668.1	bi-component leukocidin LukED subunit D	NA	NA
MMPIJKCK_01262	lukE	bi-component leukocidin LukED subunit E	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	311	311	100.00	99.36	311	RCV70079.1	bi-component leukocidin LukED subunit E	NA	NA
MMPIJKCK_01334	lmrS	multidrug efflux MFS transporter LmrS	plus	STRESS	BIOCIDE	MACROLIDE/PHENICOL	CHLORAMPHENICOL/ERYTHROMYCIN	BLASTP	480	480	100.00	99.38	480	AAW38464.1	multidrug efflux MFS transporter LmrS	NA	NA
MMPIJKCK_01574	hlgA	bi-component gamma-hemolysin HlgAB subunit A	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	321	309	100.00	100.00	309	AUU54669.1	bi-component gamma-hemolysin HlgAB subunit A	NA	NA
MMPIJKCK_01575	hlgC	bi-component gamma-hemolysin HlgCB subunit C	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	315	315	100.00	96.51	315	CAA57277.1	bi-component gamma-hemolysin HlgCB subunit C	NA	NA
MMPIJKCK_01576	hlgB	bi-component gamma-hemolysin HlgAB/HlgCB subunit B	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTP	325	325	100.00	97.23	325	CAA57278.1	bi-component gamma-hemolysin HlgAB/HlgCB subunit B	NA	NA
