"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Enterococcus_faecium_strain1","Enterococcus_faecium_strain2"
"group_101","","hypothetical protein","2","2","1","7","2376","","","","245","1049","647","PCFFDBNJ_01976","GEALKAJD_02315"
"cna","","Collagen adhesin","2","2","1","7","476","","","","2165","2276","2220","PCFFDBNJ_02092","GEALKAJD_02215"
"yfmO_1","","Multidrug efflux protein YfmO","2","2","1","7","2647","","","","932","1202","1067","PCFFDBNJ_02259","GEALKAJD_02558"
"hslO","","33 kDa chaperonin","2","2","1","7","2576","","","","425","887","656","PCFFDBNJ_02327","GEALKAJD_02490"
"icaA","","Poly-beta-1,6-N-acetyl-D-glucosamine synthase","2","2","1","7","3035","","","","602","1304","953","PCFFDBNJ_02405","GEALKAJD_00382"
"glpK","","Glycerol kinase","2","2","1","7","2103","","","","1196","1496","1346","PCFFDBNJ_02417","GEALKAJD_00368"
"hdc","","Histidine decarboxylase","2","2","1","7","2208","","","","1562","1835","1698","PCFFDBNJ_02453","GEALKAJD_00327"
"group_115","","hypothetical protein","2","2","1","7","3261","","","","143","437","290","PCFFDBNJ_02586","GEALKAJD_02906"
"group_117","","hypothetical protein","2","2","1","7","3301","","","","617","737","677","PCFFDBNJ_02739","GEALKAJD_01868"
"metB","","Cystathionine gamma-synthase","2","2","1","7","3118","","","","1145","1145","1145","PCFFDBNJ_00003","GEALKAJD_00457"
"cysM","","Cysteine synthase","2","2","1","7","3119","","","","917","917","917","PCFFDBNJ_00004","GEALKAJD_00458"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","2","2","1","7","3127","","","","881","881","881","PCFFDBNJ_00010","GEALKAJD_00462"
"group_122","dapH_2","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","2","2","1","7","3129","","","","695","695","695","PCFFDBNJ_00012","GEALKAJD_00464"
"asd","","Aspartate-semialdehyde dehydrogenase","2","2","1","7","3130","","","","1001","1001","1001","PCFFDBNJ_00013","GEALKAJD_00465"
"yclM","","Aspartokinase 3","2","2","1","7","3131","","","","1361","1361","1361","PCFFDBNJ_00014","GEALKAJD_00466"
"scmP","","N-acetylcysteine deacetylase","2","2","1","7","3132","","","","1151","1151","1151","PCFFDBNJ_00015","GEALKAJD_00467"
"dapX","","putative N-acetyl-LL-diaminopimelate aminotransferase","2","2","1","7","3133","","","","1169","1169","1169","PCFFDBNJ_00016","GEALKAJD_00468"
"group_127","","hypothetical protein","2","2","1","7","2257","","","","668","668","668","PCFFDBNJ_00018","GEALKAJD_00472"
"umuC_1","","Protein UmuC","2","2","1","7","2255","","","","1382","1382","1382","PCFFDBNJ_00020","GEALKAJD_00474"
"group_129","","hypothetical protein","2","2","1","7","2247","","","","170","170","170","PCFFDBNJ_00026","GEALKAJD_00480"
"scaC","","Manganese import ATP-binding protein ScaC","2","2","1","7","2244","","","","746","746","746","PCFFDBNJ_00029","GEALKAJD_00483"
"ssaB","","Manganese ABC transporter substrate-binding lipoprotein","2","2","1","7","2242","","","","950","950","950","PCFFDBNJ_00031","GEALKAJD_00485"
"pckA","","Phosphoenolpyruvate carboxykinase (ATP)","2","2","1","7","2238","","","","1637","1637","1637","PCFFDBNJ_00035","GEALKAJD_00489"
"thiO","","Glycine oxidase","2","2","1","7","2237","","","","1112","1112","1112","PCFFDBNJ_00036","GEALKAJD_00490"
"ribZ","","Riboflavin transporter RibZ","2","2","1","7","2236","","","","1373","1373","1373","PCFFDBNJ_00037","GEALKAJD_00491"
"group_135","","hypothetical protein","2","2","1","7","2231","","","","206","206","206","PCFFDBNJ_00041","GEALKAJD_00495"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","2","2","1","7","2229","","","","1328","1331","1329","PCFFDBNJ_00043","GEALKAJD_00497"
"yedK","","hypothetical protein","2","2","1","7","2225","","","","215","575","395","PCFFDBNJ_00046","GEALKAJD_00501"
"graS","","Sensor histidine kinase GraS","2","2","1","7","2065","","","","1025","1025","1025","PCFFDBNJ_00061","GEALKAJD_00519"
"group_139","","hypothetical protein","2","2","1","7","2061","","","","662","662","662","PCFFDBNJ_00065","GEALKAJD_00523"
"iscS_1","","Cysteine desulfurase IscS","2","2","1","7","2051","","","","1136","1145","1140","PCFFDBNJ_00074","GEALKAJD_00532"
"group_141","","hypothetical protein","2","2","1","7","2047","","","","587","599","593","PCFFDBNJ_00078","GEALKAJD_00535"
"arcD1_1","","Arginine/ornithine antiporter ArcD1","2","2","1","7","2041","","","","1421","1421","1421","PCFFDBNJ_00084","GEALKAJD_00537"
"vioD","","Capreomycidine synthase","2","2","1","7","2040","","","","1118","1118","1118","PCFFDBNJ_00085","GEALKAJD_00538"
"group_144","","hypothetical protein","2","2","1","7","2037","","","","377","377","377","PCFFDBNJ_00088","GEALKAJD_00541"
"group_145","","hypothetical protein","2","2","1","7","2033","","","","1043","1043","1043","PCFFDBNJ_00092","GEALKAJD_00545"
"group_146","","hypothetical protein","2","2","1","7","2032","","","","965","968","966","PCFFDBNJ_00093","GEALKAJD_00546"
"metN2","","Methionine import ATP-binding protein MetN 2","2","2","1","7","2027","","","","833","1034","933","PCFFDBNJ_00098","GEALKAJD_00551"
"sufS","","Cysteine desulfurase SufS","2","2","1","7","2022","","","","1235","1235","1235","PCFFDBNJ_00103","GEALKAJD_00556"
"group_149","","hypothetical protein","2","2","1","7","2017","","","","299","302","300","PCFFDBNJ_00108","GEALKAJD_00561"
"group_150","","hypothetical protein","2","2","1","7","2015","","","","209","218","213","PCFFDBNJ_00110","GEALKAJD_00563"
"group_151","","hypothetical protein","2","2","1","7","2014","","","","1979","2573","2276","PCFFDBNJ_00111","GEALKAJD_00564"
"group_152","","hypothetical protein","2","2","1","7","2006","","","","488","3389","1938","PCFFDBNJ_00119","GEALKAJD_01370"
"group_153","","hypothetical protein","2","2","1","7","2005","","","","1421","1421","1421","PCFFDBNJ_00120","GEALKAJD_01369"
"group_154","","hypothetical protein","2","2","1","7","955","","","","770","2036","1403","PCFFDBNJ_00124","GEALKAJD_00586"
"group_155","","hypothetical protein","2","2","1","7","951","","","","347","437","392","PCFFDBNJ_00127","GEALKAJD_00590"
"group_156","","hypothetical protein","2","2","1","7","945","","","","758","758","758","PCFFDBNJ_00133","GEALKAJD_00595"
"fruA_1","","PTS system fructose-specific EIIB'BC component","2","2","1","7","929","","","","488","488","488","PCFFDBNJ_00146","GEALKAJD_00608"
