"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Pseudomonas_aeruginosa_strain1","Pseudomonas_aeruginosa_strain2"
"group_1","","hypothetical protein","2","2","1","1","1741","","","","959","1493","1226","HCGKCINC_00087","PIELJBDO_00084"
"fes","","Enterochelin esterase","2","2","1","1","5277","","","","599","1580","1089","HCGKCINC_02524","PIELJBDO_02682"
"group_100","","hypothetical protein","2","2","1","1","1645","","","","641","641","641","HCGKCINC_01024","PIELJBDO_04184"
"group_101","","hypothetical protein","2","2","1","1","1644","","","","617","617","617","HCGKCINC_01025","PIELJBDO_04183"
"yadV_5","","putative fimbrial chaperone YadV","2","2","1","1","1643","","","","713","713","713","HCGKCINC_01026","PIELJBDO_04182"
"group_103","","hypothetical protein","2","2","1","1","3138","","","","407","407","407","HCGKCINC_01055","PIELJBDO_04153"
"group_104","","hypothetical protein","2","2","1","1","3148","","","","287","368","327","HCGKCINC_01065","PIELJBDO_04143"
"group_105","","hypothetical protein","2","2","1","1","3158","","","","317","317","317","HCGKCINC_01074","PIELJBDO_04134"
"group_106","","hypothetical protein","2","2","1","1","3162","","","","299","299","299","HCGKCINC_01078","PIELJBDO_04130"
"mrpG","","Na(+)/H(+) antiporter subunit G","2","2","1","1","3180","","","","347","347","347","HCGKCINC_01096","PIELJBDO_04112"
"group_108","","hypothetical protein","2","2","1","1","3184","","","","251","251","251","HCGKCINC_01100","PIELJBDO_04108"
"group_109","","hypothetical protein","2","2","1","1","3186","","","","398","398","398","HCGKCINC_01102","PIELJBDO_04106"
"fliP","","Flagellar biosynthetic protein FliP","2","2","1","1","3574","","","","767","767","767","HCGKCINC_01487","PIELJBDO_03712"
"group_1098","","hypothetical protein","2","2","1","1","1706","","","","140","140","140","HCGKCINC_00053","PIELJBDO_00052"
"yecS_3","","L-cystine transport system permease protein YecS","2","2","1","1","3384","","","","665","665","665","HCGKCINC_01297","PIELJBDO_03895"
"group_110","","hypothetical protein","2","2","1","1","3241","","","","554","554","554","HCGKCINC_01157","PIELJBDO_04051"
"fdoI","","Formate dehydrogenase, cytochrome b556(fdo) subunit","2","2","1","1","1102","","","","626","626","626","HCGKCINC_04977","PIELJBDO_05199"
"group_1101","","hypothetical protein","2","2","1","1","1212","","","","347","347","347","HCGKCINC_04865","PIELJBDO_05086"
"cdsA","","Phosphatidate cytidylyltransferase","2","2","1","1","4013","","","","815","815","815","HCGKCINC_03775","PIELJBDO_01372"
"sutR_2","","HTH-type transcriptional regulator SutR","2","2","1","1","5417","","","","632","632","632","HCGKCINC_02385","PIELJBDO_02824"
"pcm","","Protein-L-isoaspartate O-methyltransferase","2","2","1","1","4039","","","","668","668","668","HCGKCINC_03748","PIELJBDO_01399"
"pnuC","","Nicotinamide riboside transporter PnuC","2","2","1","1","5784","","","","575","575","575","HCGKCINC_02020","PIELJBDO_03179"
"group_1106","","hypothetical protein","2","2","1","1","685","","","","1619","1619","1619","HCGKCINC_05394","PIELJBDO_05620"
"mexA_1","","Multidrug resistance protein MexA","2","2","1","1","2104","","","","1151","1151","1151","HCGKCINC_00436","PIELJBDO_00450"
"barA_2","","Signal transduction histidine-protein kinase BarA","2","2","1","1","1579","","","","2777","2777","2777","HCGKCINC_00960","PIELJBDO_04248"
"group_1109","","hypothetical protein","2","2","1","1","2714","","","","509","509","509","HCGKCINC_04246","PIELJBDO_00867"
"def_2","","Peptide deformylase","2","2","1","1","3246","","","","443","539","491","HCGKCINC_01161","PIELJBDO_04047"
"zwf_2","","Glucose-6-phosphate 1-dehydrogenase","2","2","1","1","455","","","","1466","1466","1466","HCGKCINC_05626","PIELJBDO_05852"
"group_1111","","hypothetical protein","2","2","1","1","5307","","","","314","314","314","HCGKCINC_02494","PIELJBDO_02718"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","2","2","1","1","2404","","","","386","386","386","HCGKCINC_03938","PIELJBDO_01176"
"rimI","","[Ribosomal protein S18]-alanine N-acetyltransferase","2","2","1","1","1237","","","","452","452","452","HCGKCINC_04835","PIELJBDO_05056"
"cmoA_1","","Carboxy-S-adenosyl-L-methionine synthase","2","2","1","1","5705","","","","674","674","674","HCGKCINC_02098","PIELJBDO_03102"
"zraR_3","","Transcriptional regulatory protein ZraR","2","2","1","1","1372","","","","1337","1337","1337","HCGKCINC_04697","PIELJBDO_04918"
"fecI_1","","putative RNA polymerase sigma factor FecI","2","2","1","1","2150","","","","518","518","518","HCGKCINC_00484","PIELJBDO_00496"
"group_1117","","hypothetical protein","2","2","1","1","2474","","","","464","464","464","HCGKCINC_04007","PIELJBDO_01104"
"plsX","","Phosphate acyltransferase","2","2","1","1","4702","","","","980","980","980","HCGKCINC_03074","PIELJBDO_02077"
"group_1119","ycaC_1","putative hydrolase YcaC","2","2","1","1","5003","","","","680","680","680","HCGKCINC_02780","PIELJBDO_02382"
"group_112","","hypothetical protein","2","2","1","1","3256","","","","671","779","725","HCGKCINC_01172","PIELJBDO_04037"
"group_1120","lolE_1","Lipoprotein-releasing system transmembrane protein LolE","2","2","1","1","4683","","","","1250","1250","1250","HCGKCINC_03093","PIELJBDO_02058"
"ykgO","","50S ribosomal protein L36 2","2","2","1","1","4063","","","","152","152","152","HCGKCINC_03724","PIELJBDO_01423"
"marR","","Multiple antibiotic resistance protein MarR","2","2","1","1","745","","","","470","470","470","HCGKCINC_05333","PIELJBDO_05559"
"group_1123","","hypothetical protein","2","2","1","1","4920","","","","581","581","581","HCGKCINC_02862","PIELJBDO_02298"
"cidA_1","","Holin-like protein CidA","2","2","1","1","4216","","","","389","389","389","HCGKCINC_03554","PIELJBDO_01575"
"group_1125","","hypothetical protein","2","2","1","1","5916","","","","437","437","437","HCGKCINC_01890","PIELJBDO_03306"
"group_1126","","hypothetical protein","2","2","1","1","2595","","","","281","281","281","HCGKCINC_04127","PIELJBDO_00981"
"group_1127","","hypothetical protein","2","2","1","1","4236","","","","266","266","266","HCGKCINC_03534","PIELJBDO_01595"
"rpsL","","30S ribosomal protein S12","2","2","1","1","2877","","","","371","371","371","HCGKCINC_04400","PIELJBDO_00712"
"group_1129","","hypothetical protein","2","2","1","1","408","","","","593","593","593","HCGKCINC_05673","PIELJBDO_05899"
"napF","","Ferredoxin-type protein NapF","2","2","1","1","3298","","","","491","491","491","HCGKCINC_01214","PIELJBDO_03994"
"slyB","","Outer membrane lipoprotein SlyB","2","2","1","1","3174","","","","464","464","464","HCGKCINC_01090","PIELJBDO_04118"
"uvrA","","UvrABC system protein A","2","2","1","1","2843","","","","2837","2837","2837","HCGKCINC_04366","PIELJBDO_00746"
"amiD_2","","N-acetylmuramoyl-L-alanine amidase AmiD","2","2","1","1","409","","","","779","779","779","HCGKCINC_05672","PIELJBDO_05898"
"group_1133","","hypothetical protein","2","2","1","1","55","","","","710","710","710","HCGKCINC_04641","PIELJBDO_04755"
"glnG","","DNA-binding transcriptional regulator NtrC","2","2","1","1","779","","","","1430","1430","1430","HCGKCINC_05298","PIELJBDO_05523"
"groL","","60 kDa chaperonin","2","2","1","1","166","","","","1643","1643","1643","HCGKCINC_04530","PIELJBDO_04644"
"group_1136","","hypothetical protein","2","2","1","1","3923","","","","425","425","425","HCGKCINC_03865","PIELJBDO_01282"
"group_1137","","hypothetical protein","2","2","1","1","2547","","","","503","503","503","HCGKCINC_04080","PIELJBDO_01028"
"hyi","","Hydroxypyruvate isomerase","2","2","1","1","3631","","","","782","782","782","HCGKCINC_01543","PIELJBDO_03657"
"epsM","","Type II secretion system protein M","2","2","1","1","4576","","","","524","524","524","HCGKCINC_03204","PIELJBDO_01946"
"group_114","","hypothetical protein","2","2","1","1","3334","","","","635","635","635","HCGKCINC_01249","PIELJBDO_03945"
"ypeA","","Acetyltransferase YpeA","2","2","1","1","299","","","","425","425","425","HCGKCINC_04680","PIELJBDO_04795"
"djlA","","Co-chaperone protein DjlA","2","2","1","1","2281","","","","758","758","758","HCGKCINC_00613","PIELJBDO_00624"
"nrdR","","Transcriptional repressor NrdR","2","2","1","1","2654","","","","509","509","509","HCGKCINC_04186","PIELJBDO_00922"
"group_1143","","hypothetical protein","2","2","1","1","637","","","","1076","1076","1076","HCGKCINC_05442","PIELJBDO_05668"
"group_1144","","hypothetical protein","2","2","1","1","2375","","","","572","572","572","HCGKCINC_03909","PIELJBDO_01205"
"group_1145","","hypothetical protein","2","2","1","1","1211","","","","272","272","272","HCGKCINC_04866","PIELJBDO_05087"
"dmdC_1","","3-methylmercaptopropionyl-CoA dehydrogenase","2","2","1","1","2185","","","","1805","1805","1805","HCGKCINC_00518","PIELJBDO_00528"
"group_1147","","hypothetical protein","2","2","1","1","6005","","","","284","284","284","HCGKCINC_01797","PIELJBDO_03400"
"nagZ","","Beta-hexosaminidase","2","2","1","1","4665","","","","998","998","998","HCGKCINC_03111","PIELJBDO_02040"
"group_1149","","hypothetical protein","2","2","1","1","4048","","","","1070","1070","1070","HCGKCINC_03739","PIELJBDO_01408"
"kefF","","Glutathione-regulated potassium-efflux system ancillary protein KefF","2","2","1","1","3350","","","","605","626","615","HCGKCINC_01263","PIELJBDO_03928"
"group_1150","","hypothetical protein","2","2","1","1","991","","","","695","695","695","HCGKCINC_05086","PIELJBDO_05310"
"ilvE","","Branched-chain-amino-acid aminotransferase","2","2","1","1","892","","","","923","923","923","HCGKCINC_05186","PIELJBDO_05410"
"group_1152","","hypothetical protein","2","2","1","1","1600","","","","419","419","419","HCGKCINC_00981","PIELJBDO_04227"
"lipA","","Lipoyl synthase","2","2","1","1","2593","","","","983","983","983","HCGKCINC_04125","PIELJBDO_00983"
"lpdG","","Dihydrolipoyl dehydrogenase","2","2","1","1","6170","","","","1436","1436","1436","HCGKCINC_01632","PIELJBDO_03569"
"group_1155","","putative enoyl-CoA hydratase 1","2","2","1","1","2612","","","","455","455","455","HCGKCINC_04144","PIELJBDO_00964"
"group_1156","","hypothetical protein","2","2","1","1","4667","","","","629","629","629","HCGKCINC_03109","PIELJBDO_02042"
"czcR_2","","Transcriptional activator protein CzcR","2","2","1","1","5205","","","","674","674","674","HCGKCINC_02594","PIELJBDO_02612"
"group_1158","","hypothetical protein","2","2","1","1","207","","","","335","335","335","HCGKCINC_04488","PIELJBDO_04603"
"group_1159","","hypothetical protein","2","2","1","1","5764","","","","863","863","863","HCGKCINC_02039","PIELJBDO_03160"
"hisC_2","","Histidinol-phosphate aminotransferase","2","2","1","1","3403","","","","974","995","984","HCGKCINC_01316","PIELJBDO_03876"
"cmpR_3","","HTH-type transcriptional activator CmpR","2","2","1","1","4252","","","","926","926","926","HCGKCINC_03518","PIELJBDO_01611"
"group_1161","","hypothetical protein","2","2","1","1","5914","","","","497","497","497","HCGKCINC_01892","PIELJBDO_03304"
"group_1162","","hypothetical protein","2","2","1","1","487","","","","560","560","560","HCGKCINC_05594","PIELJBDO_05820"
"amtB_1","","Ammonia channel","2","2","1","1","4632","","","","1208","1208","1208","HCGKCINC_03146","PIELJBDO_02005"
"lcdH_2","","L-carnitine dehydrogenase","2","2","1","1","510","","","","965","965","965","HCGKCINC_05571","PIELJBDO_05797"
"gshB","","Glutathione synthetase","2","2","1","1","2086","","","","953","953","953","HCGKCINC_00418","PIELJBDO_00432"
"group_1166","","hypothetical protein","2","2","1","1","433","","","","212","212","212","HCGKCINC_05648","PIELJBDO_05874"
"ldhA","","D-lactate dehydrogenase","2","2","1","1","1578","","","","989","989","989","HCGKCINC_00959","PIELJBDO_04249"
"group_1168","","hypothetical protein","2","2","1","1","4938","","","","374","374","374","HCGKCINC_02844","PIELJBDO_02316"
"bfr_2","","Bacterioferritin","2","2","1","1","4133","","","","476","476","476","HCGKCINC_03654","PIELJBDO_01494"
"cobC","","Adenosylcobalamin/alpha-ribazole phosphatase","2","2","1","1","3407","","","","584","584","584","HCGKCINC_01320","PIELJBDO_03872"
"group_1170","","hypothetical protein","2","2","1","1","3124","","","","1073","1073","1073","HCGKCINC_01040","PIELJBDO_04168"
"bamC","","Outer membrane protein assembly factor BamC","2","2","1","1","3128","","","","1190","1190","1190","HCGKCINC_01044","PIELJBDO_04164"
"dksA_1","","RNA polymerase-binding transcription factor DksA","2","2","1","1","1191","","","","446","446","446","HCGKCINC_04886","PIELJBDO_05107"
"eno","","Enolase","2","2","1","1","4029","","","","1289","1289","1289","HCGKCINC_03759","PIELJBDO_01388"
"walR_1","","Transcriptional regulatory protein WalR","2","2","1","1","2087","","","","407","407","407","HCGKCINC_00419","PIELJBDO_00433"
"fosA","","Glutathione transferase FosA","2","2","1","1","3253","","","","407","407","407","HCGKCINC_01169","PIELJBDO_04040"
"amn","","AMP nucleosidase","2","2","1","1","2567","","","","1475","1475","1475","HCGKCINC_04100","PIELJBDO_01008"
