"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Klebsiella_pneumoniae_strain1","Klebsiella_pneumoniae_strain2"
"qseG","","Quorum-sensing regulator protein G","2","2","1","95","1266","","","","686","707","696","JODDOAAB_01653","MDIKJABB_04095"
"rluA_2","","Dual-specificity RNA pseudouridine synthase RluA","2","2","1","95","1549","","","","698","767","732","JODDOAAB_01686","MDIKJABB_05510"
"cynR_3","","HTH-type transcriptional regulator CynR","2","2","1","95","1551","","","","707","899","803","JODDOAAB_01688","MDIKJABB_05512"
"group_103","","hypothetical protein","2","2","1","95","1569","","","","848","1040","944","JODDOAAB_01706","MDIKJABB_02784"
"yebE","","Inner membrane protein YebE","2","2","1","95","1635","","","","425","659","542","JODDOAAB_01771","MDIKJABB_02719"
"group_105","","hypothetical protein","2","2","1","95","1655","","","","725","818","771","JODDOAAB_01791","MDIKJABB_05331"
"araH","","L-arabinose transport system permease protein AraH","2","2","1","95","1667","","","","110","980","545","JODDOAAB_01803","MDIKJABB_05319"
"pgrR_3","","hypothetical protein","2","2","1","95","1769","","","","347","920","633","JODDOAAB_01845","MDIKJABB_04156"
"group_108","","hypothetical protein","2","2","1","95","1770","","","","236","236","236","JODDOAAB_01846","MDIKJABB_04157"
"group_109","","hypothetical protein","2","2","1","95","1792","","","","740","740","740","JODDOAAB_01871","MDIKJABB_04182"
"group_110","","hypothetical protein","2","2","1","95","1843","","","","1433","1439","1436","JODDOAAB_01920","MDIKJABB_05011"
"group_111","","hypothetical protein","2","2","1","95","1844","","","","629","629","629","JODDOAAB_01921","MDIKJABB_05010"
"group_112","","hypothetical protein","2","2","1","95","1854","","","","140","140","140","JODDOAAB_01931","MDIKJABB_05000"
"mdtB","","Multidrug resistance protein MdtB","2","2","1","95","1858","","","","2678","3122","2900","JODDOAAB_01935","MDIKJABB_04563"
"yehY","","Glycine betaine uptake system permease protein YehY","2","2","1","95","1908","","","","1157","1157","1157","JODDOAAB_01969","MDIKJABB_00941"
"group_115","","hypothetical protein","2","2","1","95","676","","","","698","716","707","JODDOAAB_02017","MDIKJABB_02899"
"group_116","","hypothetical protein","2","2","1","95","678","","","","149","149","149","JODDOAAB_02019","MDIKJABB_02901"
"asr","","Acid shock protein","2","2","1","95","685","","","","236","350","293","JODDOAAB_02029","MDIKJABB_02911"
"ydhC","","Inner membrane transport protein YdhC","2","2","1","95","689","","","","1181","1235","1208","JODDOAAB_02033","MDIKJABB_02915"
"group_119","","hypothetical protein","2","2","1","95","718","","","","257","257","257","JODDOAAB_02062","MDIKJABB_02944"
"bepE","","Efflux pump membrane transporter BepE","2","2","1","93","478","","","","2654","3065","2859","JODDOAAB_01170","MDIKJABB_00674"
"group_120","rsxC_1","Ion-translocating oxidoreductase complex subunit C","2","2","1","95","723","","","","2057","2261","2159","JODDOAAB_02067","MDIKJABB_02949"
"group_121","","hypothetical protein","2","2","1","95","759","","","","125","125","125","JODDOAAB_02103","MDIKJABB_02984"
"ydcS","","Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein","2","2","1","95","764","","","","1079","1145","1112","JODDOAAB_02108","MDIKJABB_04599"
"menH_3","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","95","772","","","","512","749","630","JODDOAAB_02116","MDIKJABB_04591"
"narU","","Nitrate/nitrite transporter NarU","2","2","1","95","813","","","","278","1382","830","JODDOAAB_02157","MDIKJABB_05144"
"dipZ","","Thiol-disulfide oxidoreductase ResA","2","2","1","95","884","","","","596","1190","893","JODDOAAB_02234","MDIKJABB_04105"
"group_126","tenA_2","Aminopyrimidine aminohydrolase","2","2","1","95","891","","","","695","695","695","JODDOAAB_02241","MDIKJABB_04112"
"group_127","","hypothetical protein","2","2","1","95","904","","","","224","224","224","JODDOAAB_02254","MDIKJABB_04125"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","2","1","95","912","","","","1274","1274","1274","JODDOAAB_02260","MDIKJABB_04133"
